name,slug,official_website,instagram_url,ticket_url,main_genres,year,start_date,end_date,venue_name,city,province,region,latitude,longitude,avg_attendance,expected_attendance,attendance_source_url,sales_stage,lifecycle_stage,ticket_status,opportunity_score,data_confidence,notes
Viña Rock,vina-rock,https://www.vina-rock.com,https://instagram.com/vinarockoficial,,"rock,punk,rap,mestizaje",2026,2026-04-30,2026-05-02,,Villarrobledo,Albacete,Castilla-La Mancha,39.2699,-2.6012,,60000,https://www.vina-rock.com,Detectado,Pendiente de validar,Pendiente,95,media,Villarrobledo.
Resurrection Fest,resurrection-fest,https://www.resurrectionfest.es,https://instagram.com/resurrectionfest,,"metal,rock,punk",2026,,,,Viveiro,Lugo,Galicia,43.6636,-7.5948,,100000,https://www.resurrectionfest.es,Detectado,Pendiente de validar,Pendiente,95,media,Gran evento rock/metal.
O Son do Camiño,o-son-do-camino,https://www.osondocamino.es,https://instagram.com/osondocamino,,"pop,rock,urbano",2026,2026-06-18,2026-06-20,,Santiago de Compostela,A Coruña,Galicia,42.8782,-8.5448,,42000,https://www.osondocamino.es,Detectado,Pendiente de validar,Pendiente,87,media,Monte do Gozo.
Dreambeach,dreambeach,https://dreambeach.es,https://instagram.com/dreambeachfestival,,"electrónica,techno,urban",2026,,,,El Ejido / Almería,Almería,Andalucía,36.7763,-2.8146,,35000,https://dreambeach.es,Detectado,Pendiente de validar,Pendiente,80,media,Electrónica en Andalucía.
Medusa Festival,medusa-festival,https://medusasunbeach.com,https://instagram.com/medusasunbeach,,"electrónica,techno,EDM",2026,,,,Cullera,Valencia,Comunitat Valenciana,39.1647,-0.2544,,60000,https://medusasunbeach.com,Detectado,Pendiente de validar,Pendiente,95,media,Macrofestival electrónico.
Zevra Festival,zevra-festival,https://zevrafestival.com,https://instagram.com/zevrafestival,,"urbano,reggaeton,pop",2026,,,,Cullera,Valencia,Comunitat Valenciana,39.1647,-0.2544,,40000,https://zevrafestival.com,Detectado,Pendiente de validar,Pendiente,85,media,Urbano/pop en Cullera.
Madrid Salvaje,madrid-salvaje,https://madridsalvaje.com,https://instagram.com/madridsalvaje,,"urbano,rap,reggaeton",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,30000,https://madridsalvaje.com,Detectado,Pendiente de validar,Pendiente,75,media,Urbano en Madrid.
Rocanrola,rocanrola,https://rocanrolafestival.com,https://instagram.com/rocanrolafestival,,"rap,hip hop,urbano",2026,,,,Alicante,Alicante,Comunitat Valenciana,38.3452,-0.481,,25000,https://rocanrolafestival.com,Detectado,Pendiente de validar,Pendiente,70,media,Rap/urbano.
elrow Town Madrid,elrow-town-madrid,https://elrow.com,https://instagram.com/elrowofficial,,"electrónica,tech house",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,25000,https://elrow.com,Detectado,Pendiente de validar,Pendiente,70,media,Evento festivalero de electrónica.
elrow Town Marbella,elrow-town-marbella,https://elrow.com,https://instagram.com/elrowofficial,,"electrónica,tech house",2026,,,,Marbella,Málaga,Andalucía,36.5101,-4.8824,,15000,https://elrow.com,Detectado,Pendiente de validar,Pendiente,60,baja,Evento festivalero en Marbella.
Boombastic Asturias,boombastic-asturias,https://boombasticfestival.com,https://instagram.com/boombastic_festival,,"urbano,pop,reggaeton",2026,,,,Llanera,Asturias,Asturias,43.4611,-5.9311,,40000,https://boombasticfestival.com,Detectado,Pendiente de validar,Pendiente,85,media,Festival urbano.
Boombastic Madrid,boombastic-madrid,https://boombasticfestival.com,https://instagram.com/boombastic_festival,,"urbano,pop,reggaeton",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,30000,https://boombasticfestival.com,Detectado,Pendiente de validar,Pendiente,75,media,Festival urbano.
Boombastic Costa del Sol,boombastic-costa-del-sol,https://boombasticfestival.com,https://instagram.com/boombastic_festival,,"urbano,pop,reggaeton",2026,,,,Fuengirola,Málaga,Andalucía,36.539,-4.6244,,25000,https://boombasticfestival.com,Detectado,Pendiente de validar,Pendiente,70,media,Festival urbano.
Cabo de Plata,cabo-de-plata,https://cabodeplata.com,https://instagram.com/cabodeplata,,"mestizaje,rock,urbano,reggae",2026,,,,Barbate,Cádiz,Andalucía,36.1924,-5.9219,,30000,https://cabodeplata.com,Detectado,Pendiente de validar,Pendiente,75,media,Barbate.
Marenostrum Fuengirola,marenostrum-fuengirola,https://marenostrumfuengirola.com,https://instagram.com/marenostrumfuengirola,,"pop,urbano,electrónica",2026,,,,Fuengirola,Málaga,Andalucía,36.5346,-4.6258,,18000,https://marenostrumfuengirola.com,Detectado,Pendiente de validar,Pendiente,63,media,Ciclo/festival en Fuengirola.
Reggaeton Beach Festival Barcelona,reggaeton-beach-festival-barcelona,https://reggaetonbeachfestival.com,https://instagram.com/reggaetonbeachfestival,,"reggaeton,urbano",2026,,,,Barcelona,Barcelona,Cataluña,41.3851,2.1734,,35000,https://reggaetonbeachfestival.com,Detectado,Pendiente de validar,Pendiente,80,media,Festival urbano itinerante.
Reggaeton Beach Festival Madrid,reggaeton-beach-festival-madrid,https://reggaetonbeachfestival.com,https://instagram.com/reggaetonbeachfestival,,"reggaeton,urbano",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,35000,https://reggaetonbeachfestival.com,Detectado,Pendiente de validar,Pendiente,80,media,Festival urbano itinerante.
Reggaeton Beach Festival Benidorm,reggaeton-beach-festival-benidorm,https://reggaetonbeachfestival.com,https://instagram.com/reggaetonbeachfestival,,"reggaeton,urbano",2026,,,,Benidorm,Alicante,Comunitat Valenciana,38.5411,-0.1225,,25000,https://reggaetonbeachfestival.com,Detectado,Pendiente de validar,Pendiente,70,media,Festival urbano itinerante.
Holika,holika,https://holikafestival.com,https://instagram.com/holikafestival,,"urbano,pop,electrónica",2026,,,,Calahorra,La Rioja,La Rioja,42.305,-1.965,,20000,https://holikafestival.com,Detectado,Pendiente de validar,Pendiente,65,media,Festival urbano/pop.
Puro Latino Sevilla,puro-latino-sevilla,https://purolatino.es,https://instagram.com/purolatino_fest,,"latino,reggaeton,urbano",2026,,,,Sevilla,Sevilla,Andalucía,37.3886,-5.9823,,30000,https://purolatino.es,Detectado,Pendiente de validar,Pendiente,75,media,Festival latino.
Puro Latino El Puerto de Santa María,puro-latino-el-puerto-de-santa-maria,https://purolatino.es,https://instagram.com/purolatino_fest,,"latino,reggaeton,urbano",2026,,,,El Puerto de Santa María,Cádiz,Andalucía,36.6015,-6.238,,30000,https://purolatino.es,Detectado,Pendiente de validar,Pendiente,75,media,Festival latino.
Pirata Beach Festival,pirata-beach-festival,https://piratafestival.com,https://instagram.com/pirata_beach_festival,,"rock,mestizaje,urbano",2026,,,,Gandia,Valencia,Comunitat Valenciana,38.968,-0.18,,30000,https://piratafestival.com,Detectado,Pendiente de validar,Pendiente,75,media,Gandia.
Low Festival,low-festival,https://lowfestival.es,https://instagram.com/lowfestival,,"indie,pop,rock",2026,,,,Benidorm,Alicante,Comunitat Valenciana,38.5411,-0.1225,,25000,https://lowfestival.es,Detectado,Pendiente de validar,Pendiente,70,media,Benidorm.
FIB Benicàssim,fib-benicassim,https://fiberfib.com,https://instagram.com/fibfestival,,"indie,pop,rock",2026,,,,Benicàssim,Castellón,Comunitat Valenciana,40.055,0.064,,40000,https://fiberfib.com,Detectado,Pendiente de validar,Pendiente,85,media,Benicàssim.
Rototom Sunsplash,rototom-sunsplash,https://rototomsunsplash.com,https://instagram.com/rototomsunsplash,,"reggae,world,mestizaje",2026,,,,Benicàssim,Castellón,Comunitat Valenciana,40.055,0.064,,20000,https://rototomsunsplash.com,Detectado,Pendiente de validar,Pendiente,65,media,Reggae.
SanSan Festival,sansan-festival,https://sansanfestival.com,https://instagram.com/sansanfestival,,"indie,pop",2026,2026-04-02,2026-04-04,,Benicàssim,Castellón,Comunitat Valenciana,40.055,0.064,,25000,https://sansanfestival.com,Detectado,Pendiente de validar,Pendiente,70,media,Benicàssim.
Sonorama Ribera,sonorama-ribera,https://sonorama-aranda.com,https://instagram.com/sonorama_ribera,,"indie,pop,rock",2026,,,,Aranda de Duero,Burgos,Castilla y León,41.6704,-3.6892,,30000,https://sonorama-aranda.com,Detectado,Pendiente de validar,Pendiente,75,media,Aranda de Duero.
Mallorca Live Festival,mallorca-live-festival,https://mallorcalivemusic.com,https://instagram.com/mallorcalivefestival,,"indie,pop,electrónica,urbano",2026,,,,Calvià,Illes Balears,Illes Balears,39.5654,2.5062,,25000,https://mallorcalivemusic.com,Detectado,Pendiente de validar,Pendiente,70,media,Mallorca.
A Summer Story,a-summer-story,https://asummerstory.com,https://instagram.com/asummerstoryoficial,,"electrónica,EDM,techno",2026,,,,Arganda del Rey,Madrid,Comunidad de Madrid,40.3008,-3.4372,,35000,https://asummerstory.com,Detectado,Pendiente de validar,Pendiente,80,media,Ciudad del Rock.
Monegros Desert Festival,monegros-desert-festival,https://monegrosfestival.com,https://instagram.com/monegrosfestival,,"electrónica,techno,drum and bass",2026,,,,Fraga,Huesca,Aragón,41.522,0.3487,,50000,https://monegrosfestival.com,Detectado,Pendiente de validar,Pendiente,95,media,Desierto de Monegros.
Brava Madrid,brava-madrid,https://bravamadrid.com,https://instagram.com/bravamadrid,,"pop,electrónica,fiesta",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,18000,https://bravamadrid.com,Detectado,Pendiente de validar,Pendiente,63,baja,Festival pop/fiesta.
Brava Barcelona,brava-barcelona,https://bravafestival.com,https://instagram.com/bravafestival,,"pop,electrónica,fiesta",2026,,,,Barcelona,Barcelona,Cataluña,41.3851,2.1734,,15000,https://bravafestival.com,Detectado,Pendiente de validar,Pendiente,60,baja,Festival pop/fiesta.
Bella Festival,bella-festival,,https://instagram.com/bellafestival,,"pop,urbano,electrónica",2026,,,,Marbella,Málaga,Andalucía,36.5101,-4.8824,,12000,https://instagram.com/bellafestival,Detectado,Pendiente de validar,Pendiente,57,baja,Marbella.
Polar Sound,polar-sound,https://polarsoundfestival.com,https://instagram.com/polarsoundfestival,,"indie,pop,electrónica",2026,,,,Baqueira Beret,Lleida,Cataluña,42.7005,0.9305,,8000,https://polarsoundfestival.com,Detectado,Pendiente de validar,Pendiente,53,baja,Festival de nieve.
Negrita Music Festival Santander,negrita-music-festival-santander,https://negritamusicfestival.com,https://instagram.com/negritamusicfestival,,"urbano,pop,reggaeton",2026,,,,Santander,Cantabria,Cantabria,43.4623,-3.8099,,20000,https://negritamusicfestival.com,Detectado,Pendiente de validar,Pendiente,65,media,Santander.
Negrita Music Festival Alicante,negrita-music-festival-alicante,https://negritamusicfestival.com,https://instagram.com/negritamusicfestival,,"urbano,pop,reggaeton",2026,,,,Alicante,Alicante,Comunitat Valenciana,38.3452,-0.481,,20000,https://negritamusicfestival.com,Detectado,Pendiente de validar,Pendiente,65,media,Alicante.
Interestelar Sevilla,interestelar-sevilla,https://interestelarsevilla.com,https://instagram.com/interestelarsevilla,,"indie,pop,rock",2026,,,,Sevilla,Sevilla,Andalucía,37.3886,-5.9823,,18000,https://interestelarsevilla.com,Detectado,Pendiente de validar,Pendiente,63,media,Sevilla.
Granada Sound,granada-sound,https://granadasound.com,https://instagram.com/granadasound,,"indie,pop,rock",2026,,,,Granada,Granada,Andalucía,37.1773,-3.5986,,22000,https://granadasound.com,Detectado,Pendiente de validar,Pendiente,67,media,Granada.
WARM UP Estrella de Levante,warm-up-estrella-de-levante,https://warmupfestival.es,https://instagram.com/warmupfestival,,"indie,pop,electrónica",2026,,,,Murcia,Murcia,Región de Murcia,37.9922,-1.1307,,25000,https://warmupfestival.es,Detectado,Pendiente de validar,Pendiente,70,media,Murcia.
Festival de Les Arts,festival-de-les-arts,https://festivaldelesarts.com,https://instagram.com/festivaldelesarts,,"indie,pop",2026,,,,Valencia,Valencia,Comunitat Valenciana,39.4699,-0.3763,,20000,https://festivaldelesarts.com,Detectado,Pendiente de validar,Pendiente,65,media,Valencia.
Fan Futura Fest,fan-futura-fest,https://fanfutura.com,https://instagram.com/fanfuturafest,,"electrónica,urbano,pop",2026,,,,San Javier,Murcia,Región de Murcia,37.8063,-0.8375,,12000,https://fanfutura.com,Detectado,Pendiente de validar,Pendiente,57,baja,San Javier.
Sierra Sur Festival,sierra-sur-festival,https://sierrasurfestival.com,https://instagram.com/sierrasurfestival,,"indie,world,mestizaje",2026,,,,Zahara de la Sierra,Cádiz,Andalucía,36.8406,-5.39,,6000,https://sierrasurfestival.com,Detectado,Pendiente de validar,Pendiente,51,baja,Festival boutique.
Noches del Botánico,noches-del-botanico,https://nochesdelbotanico.com,https://instagram.com/nochesbotanico,,"pop,jazz,world,indie",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.446,-3.729,,9000,https://nochesdelbotanico.com,Detectado,Pendiente de validar,Pendiente,54,media,Ciclo/festival Madrid.
Love the 90s Madrid,love-the-90s-madrid,https://www.love90s.es,https://instagram.com/love90sfestival,,"remember,dance,pop",2026,2026-06-13,2026-06-13,,Madrid,Madrid,Comunidad de Madrid,40.462,-3.617,,30000,https://www.love90s.es,Detectado,Pendiente de validar,Pendiente,75,media,IFEMA Madrid.
I Love Reggaeton Madrid,i-love-reggaeton-madrid,https://ilovereggaeton.es,https://instagram.com/ilovereggaetonfestival,,"reggaeton,urbano,remember",2026,2026-06-06,2026-06-06,,Madrid,Madrid,Comunidad de Madrid,40.462,-3.617,,25000,https://ilovereggaeton.es,Detectado,Pendiente de validar,Pendiente,70,media,IFEMA Madrid.
Río Babel,rio-babel,https://festivalriobabel.com,https://instagram.com/festivalriobabel,,"latino,pop,rock",2026,2026-07-03,2026-07-05,,Rivas-Vaciamadrid,Madrid,Comunidad de Madrid,40.334,-3.52,,30000,https://festivalriobabel.com,Detectado,Pendiente de validar,Pendiente,75,media,Rivas.
Barcelona Rock Fest,barcelona-rock-fest,https://barcelonarockfest.com,https://instagram.com/barcelonarockfest,,"rock,metal",2026,2026-07-03,2026-07-05,,Santa Coloma de Gramenet,Barcelona,Cataluña,41.4515,2.2081,,35000,https://barcelonarockfest.com,Detectado,Pendiente de validar,Pendiente,80,media,Parc de Can Zam.
Rock Imperium Festival,rock-imperium-festival,https://rockimperiumfestival.es,https://instagram.com/rockimperiumfestival,,"rock,metal",2026,2026-07-03,2026-07-05,,Cartagena,Murcia,Región de Murcia,37.6257,-0.9966,,25000,https://rockimperiumfestival.es,Detectado,Pendiente de validar,Pendiente,70,media,Cartagena.
Azkena Rock Festival,azkena-rock-festival,https://azkenarockfestival.com,https://instagram.com/azkenarockfest,,"rock,americana",2026,,,,Vitoria-Gasteiz,Álava,País Vasco,42.8467,-2.6727,,18000,https://azkenarockfestival.com,Detectado,Pendiente de validar,Pendiente,63,media,Vitoria.
CanelaParty,canelaparty,https://canelaparty.com,https://instagram.com/canelaparty,,"indie,punk,rock",2026,,,,Torremolinos,Málaga,Andalucía,36.6243,-4.4998,,8000,https://canelaparty.com,Detectado,Pendiente de validar,Pendiente,53,baja,Málaga.
Vida Festival,vida-festival,https://vidafestival.com,https://instagram.com/vidafestival,,"indie,pop",2026,,,,Vilanova i la Geltrú,Barcelona,Cataluña,41.2239,1.7251,,12000,https://vidafestival.com,Detectado,Pendiente de validar,Pendiente,57,media,Vilanova.
PortAmérica,portamerica,https://portamerica.es,https://instagram.com/portamerica,,"pop,indie,mestizaje,gastro",2026,,,,Caldas de Reis,Pontevedra,Galicia,42.6047,-8.6424,,25000,https://portamerica.es,Detectado,Pendiente de validar,Pendiente,70,media,Galicia.
Atlantic Fest,atlantic-fest,https://atlanticfest.com,https://instagram.com/atlantic_fest,,"indie,pop",2026,,,,Vilagarcía de Arousa,Pontevedra,Galicia,42.5963,-8.7652,,8000,https://atlanticfest.com,Detectado,Pendiente de validar,Pendiente,53,baja,Galicia.
SonRías Baixas,sonrias-baixas,https://sonriasbaixas.info,https://instagram.com/sonriasbaixas,,"mestizaje,rock,rap",2026,,,,Bueu,Pontevedra,Galicia,42.3237,-8.784,,10000,https://sonriasbaixas.info,Detectado,Pendiente de validar,Pendiente,55,media,Bueu.
Revenidas,revenidas,https://revenidas.com,https://instagram.com/revenidas,,"mestizaje,rock,reggae",2026,,,,Vilaxoán,Pontevedra,Galicia,42.5867,-8.7713,,8000,https://revenidas.com,Detectado,Pendiente de validar,Pendiente,53,baja,Galicia.
Noroeste Estrella Galicia,noroeste-estrella-galicia,https://festivalnoroeste.com,https://instagram.com/noroestefestival,,"pop,rock,indie",2026,,,,A Coruña,A Coruña,Galicia,43.3623,-8.4115,,20000,https://festivalnoroeste.com,Detectado,Pendiente de validar,Pendiente,65,media,A Coruña.
Icónica Santalucía Sevilla Fest,iconica-santalucia-sevilla-fest,https://iconicafest.com,https://instagram.com/iconicafest,,"pop,rock,flamenco,world",2026,2026-06-04,2026-07-18,,Sevilla,Sevilla,Andalucía,37.3772,-5.9869,,30000,https://iconicafest.com,Detectado,Pendiente de validar,Pendiente,75,media,Plaza de España; ciclo festival.
Starlite Occident,starlite-occident,https://starliteoccident.com,https://instagram.com/starliteoccident,,"pop,latino,flamenco",2026,,,,Marbella,Málaga,Andalucía,36.5101,-4.8824,,30000,https://starliteoccident.com,Detectado,Pendiente de validar,Pendiente,75,media,Marbella.
Festival Jardins de Pedralbes / Alma Barcelona,festival-jardins-de-pedralbes-alma-barcelona,https://almafestival.info,https://instagram.com/almafestival,,"pop,jazz,world",2026,,,,Barcelona,Barcelona,Cataluña,41.3902,2.1177,,15000,https://almafestival.info,Detectado,Pendiente de validar,Pendiente,60,media,Barcelona.
Alma Madrid,alma-madrid,https://almafestival.info,https://instagram.com/almafestival,,"pop,jazz,world",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,15000,https://almafestival.info,Detectado,Pendiente de validar,Pendiente,60,media,Madrid.
Festival Mil·lenni,festival-millenni,https://festival-millenni.com,https://instagram.com/festivalmillenni,,"pop,rock,autor",2026,,,,Barcelona,Barcelona,Cataluña,41.3851,2.1734,,8000,https://festival-millenni.com,Detectado,Pendiente de validar,Pendiente,53,baja,Barcelona.
Share Festival,share-festival,https://sharefestival.org,https://instagram.com/sharefestival,,"urbano,pop",2026,,,,Barcelona,Barcelona,Cataluña,41.3851,2.1734,,25000,https://sharefestival.org,Detectado,Pendiente de validar,Pendiente,70,media,Barcelona.
Coca-Cola Music Experience,coca-cola-music-experience,https://www.coca-cola.es/music-experience,https://instagram.com/cocacolamusicexperience,,"pop,urbano",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,30000,https://www.coca-cola.es/music-experience,Detectado,Pendiente de validar,Pendiente,75,media,Madrid.
Festival Gigante,festival-gigante,https://festivalgigante.com,https://instagram.com/festivalgigante,,"indie,pop,rock",2026,,,,Alcalá de Henares,Madrid,Comunidad de Madrid,40.4819,-3.3635,,15000,https://festivalgigante.com,Detectado,Pendiente de validar,Pendiente,60,media,Alcalá de Henares.
MUWI La Rioja Music Fest,muwi-la-rioja-music-fest,https://muwi.es,https://instagram.com/muwilarioja,,"indie,pop,gastro",2026,,,,Logroño,La Rioja,La Rioja,42.4627,-2.4449,,8000,https://muwi.es,Detectado,Pendiente de validar,Pendiente,53,baja,Logroño.
Fárdelej,fardelej,https://fardelej.com,https://instagram.com/fardelej,,"indie,pop",2026,,,,Arnedo,La Rioja,La Rioja,42.2288,-2.1004,,6000,https://fardelej.com,Detectado,Pendiente de validar,Pendiente,51,baja,Arnedo.
Actual Festival,actual-festival,https://actualfestival.com,https://instagram.com/actualfestival,,"indie,pop,cultura",2026,,,,Logroño,La Rioja,La Rioja,42.4627,-2.4449,,8000,https://actualfestival.com,Detectado,Pendiente de validar,Pendiente,53,baja,Logroño.
Contempopránea,contempopranea,https://contempopranea.com,https://instagram.com/contempopranea,,"indie,pop",2026,,,,Olivenza,Badajoz,Extremadura,38.684,-7.1,,6000,https://contempopranea.com,Detectado,Pendiente de validar,Pendiente,51,baja,Extremadura.
Extremúsika,extremusika,https://extremusika.es,https://instagram.com/extremusika,,"rock,mestizaje,rap",2026,,,,Cáceres,Cáceres,Extremadura,39.4753,-6.3724,,20000,https://extremusika.es,Detectado,Pendiente de validar,Pendiente,65,media,Cáceres.
Ebrovisión,ebrovision,https://ebrovision.com,https://instagram.com/ebrovision,,"indie,pop,rock",2026,,,,Miranda de Ebro,Burgos,Castilla y León,42.6865,-2.9469,,8000,https://ebrovision.com,Detectado,Pendiente de validar,Pendiente,53,baja,Miranda de Ebro.
Palencia Sonora,palencia-sonora,https://palenciasonora.com,https://instagram.com/palenciasonora,,"indie,pop,rock",2026,,,,Palencia,Palencia,Castilla y León,42.0095,-4.5288,,8000,https://palenciasonora.com,Detectado,Pendiente de validar,Pendiente,53,baja,Palencia.
Wintable / Inverfest,wintable-inverfest,https://www.inverfest.com,https://instagram.com/inverfest,,"pop,indie,autor",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,12000,https://www.inverfest.com,Detectado,Pendiente de validar,Pendiente,57,baja,Ciclo festival.
Kalorama Madrid,kalorama-madrid,https://kaloramamadrid.com,https://instagram.com/kaloramamadrid,,"indie,pop,electrónica",2026,,,,Madrid,Madrid,Comunidad de Madrid,40.4168,-3.7038,,25000,https://kaloramamadrid.com,Detectado,Pendiente de validar,Pendiente,70,media,Madrid.
Tsunami Xixón,tsunami-xixon,https://tsunamixixon.com,https://instagram.com/tsunamixixon,,"punk,rock,metal",2026,,,,Gijón,Asturias,Asturias,43.5322,-5.6611,,12000,https://tsunamixixon.com,Detectado,Pendiente de validar,Pendiente,57,media,Gijón.
Festival Internacional de Benicàssim,festival-internacional-de-benicassim,https://fiberfib.com,https://instagram.com/fibfestival,,"indie,pop,rock",2026,,,,Benicàssim,Castellón,Comunitat Valenciana,40.055,0.064,,40000,https://fiberfib.com,Detectado,Pendiente de validar,Pendiente,85,media,FIB duplicado referencial si se usa nombre completo.
Festival Far Valencia,festival-far-valencia,https://festivalfar.com,https://instagram.com/festivalfar,,"pop,rock,latino",2026,2026-07-08,2026-07-31,,Valencia,Valencia,Comunitat Valenciana,39.4699,-0.3763,,15000,https://festivalfar.com,Detectado,Pendiente de validar,Pendiente,60,baja,Marina Norte Valencia.
